Ebene;Seite;Datei;Produktnummer;Format
DA Seiten 30%;101;253026_Stamm.pdf;253026;1
DA Seiten 30%;81;259109 0,5_Stamm.pdf;259109;0,5
DA Seiten 30%;74;262711+262724_Stamm.pdf;262711;1
DA Seiten 30%;74;262711+262724_Stamm.pdf;262724;1
DA Seiten 30%;71;263434_Stamm.pdf;263434;1
DA Seiten 30%;79;265065_Stamm.pdf;265065;1
DA Seiten 30%;72;267322_Stamm.pdf;267322;1
DA Seiten 30%;53;409096_Stamm.pdf;409096;1
DA Seiten 30%;66;509868 0,5_Stamm.pdf;509868;0,5
DA Seiten 30%;94;514516_0,5_Stamm.pdf;514516;0,5
DA Seiten 30%;88;514590_0,5_Stamm.pdf;514590;0,5
DA Seiten 30%;89;513089 0,5_Stamm.pdf;513089;0,5
DA Seiten 30%;73;268064_Stamm.pdf;268064;1
DA Seiten 30%;106;267641+267625_Stamm.pdf;267641;1
DA Seiten 30%;106;267641+267625_Stamm.pdf;267625;1
DA Seiten 30%;100;409243_Stamm.pdf;409243;1
DA Seiten 30%;94;514008_Stamm_0,5.pdf;514008;0,5
DA Seiten 30%;83;409810_0,5_Stamm.pdf;409810;0,5
DA Seiten 30%;83;512901_Stamm_0,5.pdf;512901;0,5
DA Seiten 30%;86;263724_Stamm.pdf;263724;1
